method,ap50_micro_mean,ap50_micro_std,ap50_micro_min,ap50_micro_max,map50_class_mean_mean,map50_class_mean_std,mean_score,mean_delta_vs_yolo,ap50_micro_delta_vs_yolo,map50_class_mean_delta_vs_yolo
YOLO + GCN + semantic rule refinement,0.2354332810194944,0.0046475950284164975,0.2293026301441585,0.2414090805701211,0.1666515220393167,0.01836731512616797,0.3432928603234596,0.020147614901084958,-0.00011051210921028676,-0.000942171204705855
YOLO + GCN learned refinement,0.23526814938421142,0.004493137114813908,0.2292261449991728,0.2408296806018453,0.16652001656306598,0.0182017810635847,0.32544021893482666,0.00229497351245204,-0.0002756437444932647,-0.0010736766809565923
YOLO + semantic rule refinement,0.23576116883265935,0.0042757554457235475,0.2300299649161484,0.2413615976882618,0.16773435752121496,0.019245338820449237,0.3414218829572896,0.01827663753491496,0.0002173757039546642,0.00014066427719239272
YOLO baseline,0.2355437931287047,0.0040994625170045935,0.2299208434666297,0.2406655493026777,0.16759369324402257,0.018842670770955472,0.32314524542237455,0.0,0.0,0.0
