method,pooled_out_of_fold_AP@0.5,pooled_out_of_fold_mAP@0.5,mean_score,mean_delta_vs_yolo
YOLO baseline,0.23468652410181773,0.16499346123795194,0.3231612460976465,0.0
YOLO + GCN learned refinement,0.2343789511042207,0.1647155058333185,0.3254573867559492,0.0022961406583026887
YOLO + semantic rule refinement,0.23487732324907107,0.16508925685435408,0.3414397997672103,0.018278553669563807
YOLO + GCN + semantic rule refinement,0.23452846630611704,0.16487052773232502,0.3433123925840996,0.020151146486453102
