method,score_threshold,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,tp_mean,fp_mean,fn_mean,ap50_micro_mean,ap50_micro_std,map50_class_mean_mean,map50_class_mean_std,pooled_out_of_fold_AP@0.5,pooled_out_of_fold_mAP@0.5,pooled_precision@0.25,pooled_recall@0.25,pooled_f1@0.25,precision_mean_delta_vs_yolo,recall_mean_delta_vs_yolo,f1_mean_delta_vs_yolo,ap50_micro_mean_delta_vs_yolo,map50_class_mean_mean_delta_vs_yolo
YOLO baseline,0.25,0.7232559686673448,0.0184045950239344,0.2057165143974781,0.0052565628998582,0.3202637315448616,0.0065957240761302,816.8,313.4,3152.8,0.2355437931287047,0.0040994625170045,0.1675936932440225,0.0188426707709554,0.2346865241018177,0.1649934612379519,0.7227039462042116,0.2052777079668258,0.3197369451186096,0.0,0.0,0.0,0.0,0.0
YOLO + GCN learned refinement,0.25,0.7236855984957964,0.015853059271381,0.2039001409300952,0.005406068973149,0.3181026798505632,0.0066854094394446,809.6,309.8,3160.0,0.2352681493842114,0.0044931371148139,0.1665200165630659,0.0182017810635847,0.2343789511042207,0.1647155058333185,0.7232445953189208,0.2034682080924855,0.3175898321041895,0.00042962982845162756,-0.0018163734673828924,-0.0021610516942984215,-0.00027564374449329243,-0.00107367668095662
YOLO + semantic rule refinement,0.25,0.6980134958499713,0.0191026154477004,0.2146327979456527,0.0056719628165497,0.32825280230734,0.0072662919191902,852.2,369.6,3117.4,0.2357611688326593,0.0042757554457235,0.1677343575212149,0.0192453388204492,0.234877323249071,0.165089256854354,0.6974954984449173,0.2141744156823322,0.3277188124903861,-0.025242472817373462,0.008916283548174614,0.0079890707624784,0.0002173757039546087,0.00014066427719239272
YOLO + GCN + semantic rule refinement,0.25,0.7021304471364797,0.0182977374265093,0.2127614230386768,0.0066284688647369,0.3264993820281903,0.0083630870564646,844.8,359.2,3124.8,0.2354332810194944,0.0046475950284164,0.1666515220393167,0.0183673151261679,0.234528466306117,0.164870527732325,0.7016611295681063,0.2123146519225936,0.3259888095697472,-0.02112552153086511,0.007044908641198694,0.006235650483328692,-0.00011051210921028676,-0.0009421712047057995
